Instance type,Release Date,Instance vCPU,Platform Total Number of vCPU,Platform CPU Name,Instance Memory (in GB),Platform Memory (in GB),Storage Info (Type and Size in GB),Storage Type,Platform Storage Drive Quantity,Platform GPU Quantity,Platform GPU Name,Instance Number of GPU,Instance GPU memory (in GB),PkgWatt @ Idle,PkgWatt @ 10%,PkgWatt @ 50%,PkgWatt @ 100%,RAMWatt @ Idle,RAMWatt @ 10%,RAMWatt @ 50%,RAMWatt @ 100%,GPUWatt @ Idle,GPUWatt @ 10%,GPUWatt @ 50%,GPUWatt @ 100%,Delta Full Machine,Instance @ Idle,Instance @ 10%,Instance @ 50%,Instance @ 100%,Platform Additional Memory Scope 3 Emissions,Platform Additional Storage Scope 3 Emissions,Platform Additional GPU Scope 3 Emissions,Platform Additional CPU Scope 3 Emissions,Total Platform Scope 3 Emissions  (kgCO₂eq),Instance Hourly Manufacturing Emissions (gCO₂eq),Hardware Information on AWS Documentation & Comments
n1-highcpu-64,,64,96,Xeon Scalable Platinum 8173M / Xeon E5-2696V4 / Xeon E5-2696V3 / Xeon E5-2696V2 / Xeon E5-2709,57.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n1-highcpu-96,,96,96,Xeon Scalable Platinum 8173M / Xeon E5-2696V4 / Xeon E5-2696V3 / Xeon E5-2696V2 / Xeon E5-2710,86.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h3-standard-88,,88,88,Xeon Platinum 8481C,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2d-standard-2,,2,112,EPYC 7B13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2d-standard-4,,4,112,EPYC 7B13,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2d-standard-8,,8,112,EPYC 7B13,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2d-standard-16,,16,112,EPYC 7B13,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2d-standard-32,,32,112,EPYC 7B13,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2d-standard-56,,56,112,EPYC 7B13,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2d-standard-112,,112,112,EPYC 7B13,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2-standard-4,,4,60,Xeon Gold 6253CL,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2-standard-8,,8,60,Xeon Gold 6253CL,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2-standard-16,,16,60,Xeon Gold 6253CL,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2-standard-30,,30,60,Xeon Gold 6253CL,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2-standard-60,,60,60,Xeon Gold 6253CL,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m1-ultramem-40,,40,160,Xeon E7-8880V4,961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m1-ultramem-80,,80,160,Xeon E7-8880V4,1922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m1-ultramem-160,,160,160,Xeon E7-8880V4,3844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m1-megamem-96,,96,160,Xeon E7-8880V4,1433.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m2-ultramem-208,,208,416,Xeon Platinum 8280L,5888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m2-ultramem-416,,416,416,Xeon Platinum 8280L,11776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m2-megamem-416,,416,416,Xeon Platinum 8280L,5888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m2-hypermem-416,,416,416,Xeon Platinum 8280L,8832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m3-ultramem-32,,32,128,Xeon Platinum 8373C ,976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m3-ultramem-64,,64,128,Xeon Platinum 8373C ,1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m3-ultramem-128,,128,128,Xeon Platinum 8373C ,3904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m3-megamem-64,,64,128,Xeon Platinum 8373C ,976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m3-megamem-128,,128,128,Xeon Platinum 8373C ,"1,952",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
